avg_speed,max_speed,speed_std,avg_accel,brake_events_per_km,idle_frac,oat,aux_power_w,soc,wh_per_km,range_km,trip_key
48.11493712590333,73.9199981689,27.05447658130452,0.538325724628051,11.139108527381378,0.3135593220338983,15.0,130.5084745762712,93.2926864624,144.01568462910754,139.92378904960995,10-1585
40.77434173902909,65.9799957275,23.045654750966445,0.6847165850619653,8.322102870219686,0.16611295681063123,7.622923588039867,290.19933554817277,88.2926864624,115.73956986289278,164.77701013119813,10-1599
32.504940921698285,52.1899986267,17.017397477290107,0.7583879872950343,12.892482875503353,0.1461794019933555,8.0,181.56146179401992,86.4634170532,245.91783987045702,75.94446215585366,10-1599
24.6872245978322,50.719997406,15.656740606016344,1.0946271939323278,6.041163152634033,0.25680933852140075,8.0,135.7976653696498,84.634147644,133.85396366786358,136.5740347926133,10-1599
31.272005807410395,50.8299980164,16.277870772753367,0.6694562526705172,5.981272890959381,0.14606741573033707,1.7317415730337078,1981.6011235955057,100.0,287.0884736855826,75.23813033210166,10-1601
36.25684129062484,64.7900009155,21.437251182463967,0.9272698713389964,11.230054854638357,0.13636363636363635,1.0,549.5454545454545,98.2926864624,237.43134647759666,89.42046023346674,10-1615
50.51646190900817,67.9899978638,17.216643232587952,0.8596556820947372,2.5024533301786014,0.051829268292682924,5.696646341463414,366.9207317073171,61.707321167,207.77808898258485,64.1491190786203,10-1625
30.825376726545567,48.7599983215,16.639267802937226,1.2340272735574767,12.610725785865382,0.18773946360153257,6.0,256.7049808429119,60.8536605835,80.57326151160699,163.13588949284977,10-1625
28.326040438541675,50.3400001526,14.99336656302303,0.8022071095095331,8.626090930775396,0.08333333333333333,5.556451612903226,693.010752688172,87.0731735229,256.1996120610112,73.41074925776049,10-1629
27.127882991516184,50.3699989319,16.57430920128585,0.5845580007780126,11.409924693132265,0.16740088105726872,6.0,396.0352422907489,84.7560958862,125.50520677805196,145.86898170523344,10-1629
49.37995321750295,67.4300003052,25.388981274397523,0.3425997409375365,4.454596771950674,0.23875432525951557,4.226643598615917,1190.311418685121,95.7317123413,170.17553670034368,121.51011988363564,10-1638
29.053585510559973,52.6399993896,15.84496887570324,0.5637971696562604,5.043149296325261,0.0653950953678474,4.5,714.850136239782,93.7804946899,221.31964886337965,91.52638257402425,10-1638
31.687117829839544,54.75,16.271863154514648,0.9276900713541113,9.987207756540515,0.15311004784688995,4.5,542.5837320574162,91.0975723267,244.88879624029107,80.3510651555474,10-1638
46.02632372739603,72.3499984741,20.232810449456164,0.5290648286501232,2.829038401598858,0.056451612903225805,4.506720430107527,446.63978494623655,74.7561035156,182.58682733711453,88.43638171967582,10-1644
36.63426932128752,60.7399978638,20.270728685068438,0.6643199109238899,3.8547628750402443,0.22916666666666666,5.0,372.0833333333333,71.5853729248,239.668180410096,64.51603431585717,10-1644
49.31055639454498,66.5,16.384618950440142,0.3437043795002357,2.4008298705814424,0.0701219512195122,5.0,350.0,70.6097564697,117.73550619394902,129.54212276737175,10-1644
34.56379411281969,54.2700004578,20.909162517050813,0.6144219939007679,6.435223779823304,0.2471042471042471,5.158301158301159,282.04633204633205,68.9024429321,95.36424696176286,156.06401924718224,10-1644
36.08219844770183,50.3199996948,17.05685093400408,0.6346935332932934,2.744491045590241,0.1602787456445993,5.47212543554007,0.0,67.5609817505,186.70106353464627,78.16330438524757,10-1644
42.66775767830621,64.9499969482,24.832026458868008,0.5865169464039219,10.665245068317102,0.275,1.7354166666666666,1877.0833333333333,100.0,342.2152783966015,63.11816380964512,10-1674
46.77705748782465,67.2999954224,24.915952886207084,1.0705794068061851,1.5833604111092257,0.205607476635514,0.9042056074766355,574.5327102803739,100.0,374.2003850053397,57.723083314550244,10-1674
55.18999862669999,55.1899986267,1.4210854715202004e-14,0.0,0.0,0.0,0.5,350.0,100.0,488.56678149934345,44.210946830467286,10-1674
